Вопрос,Эталонный ответ преподавателя,Ответ студента,Оценка
Как работает механизм «self-attention» в трансформерах?,Self-attention позволяет каждому токену учитывать остальные токены последовательности и взвешивать их вклад в своё представление. Благодаря этому модель лучше улавливает дальние зависимости в тексте.,"Это просто техническая деталь, которая почти ничего не меняет. Обычно это просто часть общей настройки.",2
Где применяется data mining в промышленности и бизнесе?,"Data mining используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.","Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.",4
"Как снизить риски, связанные с ситуацией «p-value как единственный критерий решения» в проверке гипотез?","P-value нельзя трактовать как полную меру истины гипотезы, потому что он чувствителен к размеру выборки и не отражает размер эффекта. Для вывода важны ещё доверительные интервалы, мощность теста и предметный смысл результата.","Ну, одного p-value недостаточно, чтобы делать полноценный вывод о результате, типа. Короче, что-то в этом роде.",3
Что такое data skew в распределенных системах?,Неравномерное распределение данных или нагрузки между узлами кластера,"Проблема когда данные или нагрузка неравномерно распределены между узлами, что приводит к медленным узлам",5
Как организовать feature engineering для NLP задач с большими текстовыми данными?,"TF-IDF, word embeddings (Word2Vec, GloVe), contextual embeddings (BERT), character-level features, topic modeling (LDA), syntactic features (POS tagging).",Способы преобразования текста в признаки для машинного обучения.,2
Какие компании активно используют большие данные и зачем?,"Большие данные помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.",Большие данные применяется в бизнесе и иногда в науке для анализа данных.,3
Какие реальные примеры использования распределённые вычисления существуют?,"Технологии распределённые вычисления позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.","Распределённые вычисления применяется в финансах, медицине, рекламе и IT, помогает анализировать данные и строить модели.",4
Чем отличается использование «оконные функции» и «GROUP BY» в SQL-запросах?,"Оконные функции вычисляют агрегаты по группе строк, но не схлопывают результат до одной строки на группу, в отличие от GROUP BY. Поэтому они удобны для ранжирования, бегущих итогов и сравнений внутри группы.","Сильной разницы между ними нет, обычно выбирают любой вариант.",2
Для какого типа данных особенно полезно применять подход «transfer learning» в глубоких нейросетях?,"Transfer learning полезен, когда размеченных данных мало или обучение с нуля слишком дорого. Предобученная модель уже содержит общие признаки, которые можно адаптировать под новую задачу.","Если кратко, то transfer learning полезен, когда размеченных данных мало или обучение с нуля слишком дорого; предобученная модель уже содержит общие признаки, которые можно адаптировать под новую задачу.",5
Какую роль в Lakehouse играет фактор «разделение хранения и вычислений»?,Разделение хранения и вычислений в Lakehouse позволяет масштабировать ресурсы независимо: дешёво хранить большие объёмы и отдельно наращивать вычислительную мощность под нагрузку. Это делает платформу гибче и экономичнее.,"В общем, lakehouse удобно масштабировать, потому что хранение и вычисления разделены, короче. Если не ошибаюсь, ну и там ещё детали есть, не помню точно.",3
Почему в планировании эксперимента важен следующий фактор: «статистическая мощность теста»?,"Статистическая мощность показывает вероятность обнаружить реальный эффект, если он действительно существует. Низкая мощность ведёт к пропуску полезных изменений и часто связана с маленькой выборкой.","Ну вот, наверное, это скорее второстепенная вещь; обычно без неё тоже всё работает. Обычно это просто часть общей настройки. Короче, что-то в этом роде.",2
Какие навыки необходимы специалисту для работы с анализ данных?,"Анализ данных используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.","Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.",5
Как фактор «центральная предельная теорема» влияет на качество результата в статистике и машинном обучении?,"Центральная предельная теорема объясняет, почему распределение средних по большим выборкам часто становится близким к нормальному. Это делает возможным многие интервальные оценки и классические статистические тесты.","Смысл в том, что центральная предельная теорема объясняет, почему распределение средних по большим выборкам часто становится близким к нормальному; это делает возможным многие интервальные оценки и классические статистические тесты.",5
Что такое random forest?,"Ансамблевый метод, строящий множество решающих деревьев на случайных подвыборках данных и признаков.","Ансамбль деревьев решений. Каждое дерево обучается на случайной выборке данных и признаков, затем результаты усредняются.",4
"Когда разумнее выбрать «bagging», а когда «boosting» в ансамблевых методах?","Bagging обучает базовые модели независимо и уменьшает дисперсию за счёт усреднения, а boosting строит модели последовательно и концентрируется на прошлых ошибках. Поэтому boosting обычно сильнее подгоняет сложные зависимости, но чаще переобучается.","Ну вот, bagging обучает базовые модели независимо и уменьшает дисперсию за счёт усреднения, а boosting строит модели последовательно и концентрируется на прошлых ошибках. Именно это важно на практике, короче. Вот такой смысл.",4
Что такое feature importance?,Методы оценки важности признаков для прогнозов модели.,Способ оценки вклада каждого признака в прогнозы модели. Помогает понять модель и отобрать наиболее значимые фичи.,4
Что в RAG-системах даёт аспект «выбор эмбеддинг-модели»?,"Выбор эмбеддинг-модели в RAG определяет, насколько хорошо похожие по смыслу тексты окажутся рядом в векторном пространстве. Слабые эмбеддинги дают нерелевантный поиск даже при хорошей генеративной модели.","Выбор эмбеддинг-модели в RAG определяет, насколько хорошо похожие по смыслу тексты окажутся рядом в векторном пространстве.",4
Почему в распределённых NoSQL-системах важен следующий фактор: «компромисс между согласованностью и доступностью»?,"В распределённых NoSQL-системах часто приходится выбирать компромисс между согласованностью и доступностью при сетевых разделениях. Архитектура зависит от того, что для бизнеса критичнее: всегда отвечать или всегда видеть самые свежие данные.","Эээ, в распределённых NoSQL-системах часто приходится выбирать компромисс между согласованностью и доступностью при сетевых разделениях, короче. В общем-то так.",4
Почему ситуация «квадратичная сложность attention по длине последовательности» может стать проблемой в трансформерах?,"Классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими. Именно из-за этого для long context часто ищут приближённые или разреженные варианты attention.","Ммм, классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими, короче. Ну, примерно так.",4
"Что происходит, когда в линейных моделях используется механизм «разреженность коэффициентов при L1»?","L1 создаёт разреженность, потому что штраф на абсолютные значения весов делает нулевые коэффициенты выгодным решением оптимизации. Это полезно, когда признаков много и нужна компактная модель.","Если кратко, то l1 создаёт разреженность, потому что штраф на абсолютные значения весов делает нулевые коэффициенты выгодным решением оптимизации; это полезно, когда признаков много и нужна компактная модель.",5
Как развитие компьютерное зрение влияет на будущее цифровых технологий?,"Компьютерное зрение используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.","Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.",4
Как работает механизм «bootstrap-выборки» в Random Forest?,Bootstrap-выборки позволяют каждому дереву в Random Forest обучаться на своей случайной подвыборке объектов. Это увеличивает разнообразие деревьев и помогает снизить дисперсию ансамбля.,"Здесь критично, что bootstrap-выборки позволяют каждому дереву в Random Forest обучаться на своей случайной подвыборке объектов; это увеличивает разнообразие деревьев и помогает снизить дисперсию ансамбля.",5
Какие основные инструменты и технологии используются для работы с большие данные?,"Большие данные используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.",Помогает работать с данными и строить модели.,3
Что такое Spark и чем он отличается от Hadoop?,"Apache Spark — это платформа для распределенных вычислений, быстрее Hadoop MapReduce за счёт работы в памяти (in-memory). Поддерживает потоковую обработку данных и имеет библиотеки для SQL и машинного обучения.","Spark — программа для обработки данных, похожа на Hadoop.",3
Где применяется анализ данных в промышленности и бизнесе?,"Анализ данных используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.",Это просто работа с таблицами. Не очень полезно.,2
Почему ситуация «слишком большой коэффициент регуляризации» может стать проблемой в моделях машинного обучения?,"Слишком большой коэффициент регуляризации приводит к недообучению, потому что модель становится чрезмерно ограниченной и перестаёт использовать полезный сигнал в данных. Баланс между смещением и дисперсией тут критичен.","Ну, «слишком большой коэффициент регуляризации» — это когда вот это всё используется, как бы. Ну и там ещё детали есть, не помню точно.",2
Что такое MLOps?,Практики CI/CD для развертывания и мониторинга моделей машинного обучения.,Способ управления проектами по искусственному интеллекту в компаниях.,2
Как фактор «позиционное кодирование» влияет на качество результата в трансформерах?,"Позиционное кодирование нужно трансформеру, потому что сама attention-механика не знает порядка токенов. Позиции добавляют информации о том, где именно находится слово в последовательности.","Смысл в том, что позиционное кодирование нужно трансформеру, потому что сама attention-механика не знает порядка токенов; позиции добавляют информации о том, где именно находится слово в последовательности.",5
Какие задачи в компьютерном зрении решает фактор «аугментация изображений»?,Аугментация изображений увеличивает разнообразие обучающих примеров без ручной разметки новых данных и тем самым снижает переобучение. Но она должна сохранять смысл задачи и не искажать класс объекта.,"Ну вот, тут, кажется, речь про «аугментация изображений». Это, ну там, нужно для системы или данных. Короче, что-то в этом роде.",2
Что меняется после применения механизма «границы окна ROWS BETWEEN» в SQL-запросах?,"Границы окна ROWS BETWEEN задают, какие строки относительно текущей участвуют в вычислении функции. С их помощью строят скользящие суммы, средние и другие локальные агрегаты.","Границы окна ROWS BETWEEN задают, какие строки относительно текущей участвуют в вычислении функции.",4
"Что происходит, когда в Random Forest используется механизм «случайный выбор подмножества признаков при каждом сплите»?",Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу. Благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.,Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу. Это и есть ключевой смысл.,4
Когда применение подхода «transfer learning на предобученных CNN или ViT» оправдано в компьютерном зрении?,"Transfer learning в компьютерном зрении особенно полезен, когда данных мало, а базовые визуальные признаки уже хорошо выучены на больших датасетах. Тогда модель можно быстро адаптировать под новую предметную область.","Ну, наверное, такой метод можно использовать везде, разницы по сценариям почти нет. Ну вот, примерно так, наверное.",2
Как фактор «актуальность базы знаний» влияет на качество результата в RAG-системах?,"Актуальность базы знаний в RAG важна, потому что генератор отвечает на основе того, что удалось извлечь. Если документы устарели, система будет уверенно выдавать устаревшие факты.","По сути, актуальность базы знаний в RAG критична, потому что генератор отвечает на основе того, что удалось извлечь; если документы устарели, система будет уверенно выдавать устаревшие факты.",5
Когда в Spark особенно важен аспект «минимизация shuffle-операций»?,"Shuffle в Spark дорогой, потому что требует перераспределения данных по сети и записи промежуточных результатов. Чем меньше ненужных shuffle, тем быстрее и стабильнее работает пайплайн.","Shuffle в Spark дорогой, потому что требует перераспределения данных по сети и записи промежуточных результатов.",4
Меры изменчивости,"Дисперсия, стандартное отклонение, размах, межквартильный размах - показатели разброса данных","Дисперсия, стандартное отклонение, размах описывают вариативность",3
Какую роль в ансамблевых методах играет фактор «разнообразие базовых моделей»?,"Разнообразие базовых моделей важно для ансамбля, потому что одинаково ошибающиеся модели почти не дают выигрыша при объединении. Чем менее коррелированы их ошибки, тем сильнее ансамбль.","По сути, разнообразие базовых моделей важно для ансамбля, потому что одинаково ошибающиеся модели почти не дают выигрыша при объединении; чем менее коррелированы их ошибки, тем сильнее ансамбль.",5
Как анализ данных применяется для автоматизации рутинных процессов?,"Анализ данных применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.","Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.",4
Что такое MapReduce?,"Модель программирования для обработки больших объемов данных в распределенных кластерах, состоящая из этапов Map (фильтрация и сортировка) и Reduce (агрегация результатов).",Способ обработки больших данных в распределенных системах. Состоит из двух этапов - map и reduce.,3
Как фактор «масштабирование признаков» влияет на качество результата при кластеризации?,"Масштабирование признаков важно для кластеризации, особенно когда используется евклидово расстояние. Иначе один численно крупный признак может полностью задавить остальные.","Ну вот, там есть штука «масштабирование признаков», как бы. Ну вот, примерно так, наверное.",2
Почему результат в XGBoost зависит от фактора «регуляризация деревьев»?,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных. Штрафы на листья и глубину помогают удерживать модель от слишком агрессивной подгонки.,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных.,4
Стандарты жизненного цикла Big Data: CRISP?DM,"CRISP-DM представляет собой стандартизированный процесс, включающий 6 этапов: бизнес-понимание, понимание данных, подготовка данных, моделирование, оценка и внедрение",Методология для проектов анализа данных,2
Что в MLflow даёт аспект «трекинг запусков»?,"Трекинг запусков в MLflow нужен для фиксации параметров, метрик и артефактов каждого эксперимента. Благодаря этому можно воспроизвести удачный запуск и понять, за счёт чего модель улучшилась или ухудшилась.","Ну, трекинг запусков в MLflow нужен для фиксации параметров, метрик и артефактов каждого эксперимента. Этого обычно достаточно для понимания идеи, типа. Вот такой смысл.",4
За счёт чего работает механизм «оценка качества по out-of-bag объектам» в Random Forest?,"Out-of-bag оценка использует те объекты, которые не попали в bootstrap-выборку конкретного дерева, как внутреннюю валидацию. Это даёт быстрый способ приблизительно оценить качество без отдельного holdout.","Ммм, вроде бы, oOB-оценка позволяет проверять лес без отдельной валидационной выборки. Подробности работы зависят от реализации, как бы. Дальше я уже не очень помню.",3
Что меняется после применения механизма «отрицательное значение R²» при оценке регрессионных моделей?,"Отрицательное значение R² означает, что модель предсказывает хуже, чем наивный baseline со средним значением целевой переменной. Это сигнал о плохой спецификации признаков, модели или данных.","Если кратко, то отрицательное значение R² означает, что модель предсказывает хуже, чем наивный baseline со средним значением целевой переменной; это сигнал о плохой спецификации признаков, модели или данных.",5
Как специалисты анализируют данные в рамках кластеризация данных?,"Кластеризация данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.","Технологии кластеризация данных позволяют компаниям обрабатывать большие объёмы разнородных данных, выявлять сложные закономерности и принимать обоснованные решения.",5
Преимущества и недостатки непараметрических моделей,"Непараметрические модели гибки и не требуют предположений о распределении данных, но могут требовать больших объемов данных и вычислительных ресурсов","Преимущества: не требуют априорных предположений о данных, могут аппроксимировать сложные функции; недостатки: требуют больших объемов данных для обучения, вычислительно затратны, склонны к переобучению, сложны для интерпретации",5
Генеральная совокупность и выборка,"Генеральная совокупность включает все объекты исследования, выборка является ее представительной частью",Все объекты и их часть,2
Какие стратегии использовать для управления памятью в Spark при работе с большими датасетами?,"Настройка memory fractions, использование off-heap memory, сериализация данных, кэширование с правильными уровнями хранения, мониторинг GC, разделение памяти между execution и storage.","Настройка памяти executor'ов, использование off-heap memory, эффективная сериализация, выбор правильных уровней кэширования, мониторинг garbage collection, балансировка памяти между выполнением задач и хранением данных.",5
Когда в SQL-запросах особенно важен аспект «PARTITION BY»?,"PARTITION BY в оконных функциях задаёт, внутри каких групп строк будет считаться окно. Это позволяет отдельно считать ранги, накопительные суммы или средние по каждому пользователю, региону или категории.","Если кратко, то pARTITION BY в оконных функциях задаёт, внутри каких групп строк будет считаться окно; это позволяет отдельно считать ранги, накопительные суммы или средние по каждому пользователю, региону или категории.",5
Для чего в кластере Hadoop отдельно контролируют аспект «NameNode»?,"NameNode хранит метаданные HDFS: структуру каталогов, расположение блоков и права доступа. Без него DataNode с данными остаются, но файловой системой невозможно полноценно пользоваться.","Ну вот, nameNode хранит метаданные HDFS: структуру каталогов, расположение блоков и права доступа. Именно это важно на практике, типа. Ну, примерно так.",4
Что меняется после применения механизма «последовательное исправление ошибок предыдущих деревьев» в градиентном бустинге?,"В градиентном бустинге новые деревья обучаются так, чтобы уменьшать ошибки ансамбля, построенного на предыдущих шагах. За счёт этого модель постепенно улучшает предсказания на трудных объектах.","Это скорее формальность, а не важная часть работы модели. Обычно это просто часть общей настройки.",2
Почему в трансформерах важен следующий фактор: «позиционное кодирование»?,"Позиционное кодирование нужно трансформеру, потому что сама attention-механика не знает порядка токенов. Позиции добавляют информации о том, где именно находится слово в последовательности.","Ммм, я не уверен, но, без позиционного кодирования трансформер не понимает порядок токенов, как бы. Короче, что-то в этом роде.",3
Как механизм «случайный выбор подмножества признаков при каждом сплите» влияет на итоговый результат в Random Forest?,Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу. Благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.,"В общем, лес случайно ограничивает признаки в сплите, чтобы деревья были менее похожими. Точный механизм я не раскрою полностью, в общем-то. Короче, что-то в этом роде.",3
Какие задачи в Lakehouse решает фактор «ACID-транзакции поверх файлового хранилища»?,"ACID-транзакции в Lakehouse нужны для согласованной записи, чтения и обновления таблиц даже при параллельной работе. Без них легко получить битые снапшоты, дубликаты и неконсистентную аналитику.","В общем, транзакционность в Lakehouse нужна для консистентных таблиц. Это основная идея, хотя не вся, типа. Ну и там ещё детали есть, не помню точно.",3
К чему приводит неконтролируемая ситуация «квадратичная сложность attention по длине последовательности» в трансформерах?,"Классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими. Именно из-за этого для long context часто ищут приближённые или разреженные варианты attention.","По сути, классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими; именно из-за этого для long context часто ищут приближённые или разреженные варианты attention.",5
Чем отличается использование «трансформеры» и «RNN» в задачах обработки последовательностей?,"Трансформеры лучше параллелятся, потому что обрабатывают всю последовательность сразу, а не шаг за шагом, как RNN. Это ускоряет обучение и обычно улучшает захват дальних зависимостей.","В общем, «трансформеры и RNN» — это когда вот это всё используется, типа. Ну и там ещё детали есть, не помню точно.",2
Как NLP применяется для автоматизации рутинных процессов?,"Nlp используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.",Nlp нужно только программистам.,2
Что такое переобучение (overfitting)?,"Ситуация, когда модель слишком точно подстраивается под тренировочные данные, включая их шум, теряя способность к обобщению на новых данных.","Это проблема, когда алгоритм показывает плохие результаты из-за неправильных данных или слабого компьютера.",2
Какие задачи в системах Big Data решает фактор «горизонтальное масштабирование»?,"Горизонтальное масштабирование в Big Data важно, потому что объёмы данных и нагрузка часто превышают возможности одного сервера. Добавлять узлы обычно дешевле и надёжнее, чем бесконечно усиливать одну машину.","Горизонтальное масштабирование в Big Data важно, потому что объёмы данных и нагрузка часто превышают возможности одного сервера.",4
Метрики качества для компьютерного зрения,"Accuracy, Precision, Recall, F1-score для классификации; mAP, IoU для детекции; Dice coefficient для сегментации",Метрики для CV задач,2
Зачем в глубоких нейросетях нужен элемент «batch normalization»?,Batch normalization стабилизирует распределения активаций внутри сети и часто ускоряет обучение. Она также может выступать как слабая форма регуляризации за счёт шума по батчам.,"Ну, batch normalization стабилизирует распределения активаций внутри сети и часто ускоряет обучение. Этого обычно достаточно для понимания идеи, типа. Вот такой смысл.",4
Что такое 'регрессия' в машинном обучении?,Регрессия — это метод моделирования зависимости между зависимой переменной и одной или несколькими независимыми переменными.,Регрессия — это способ определить зависимость между двумя параметрами.,4
Зачем в кластере Hadoop нужен элемент «NameNode»?,"NameNode хранит метаданные HDFS: структуру каталогов, расположение блоков и права доступа. Без него DataNode с данными остаются, но файловой системой невозможно полноценно пользоваться.","В общем, nameNode хранит метаданные HDFS: структуру каталогов, расположение блоков и права доступа. Этого обычно достаточно для понимания идеи, короче. Вот такой смысл.",4
Как устроен механизм «автоматическая предобработка признаков» в AutoML?,"Автоматическая предобработка признаков в AutoML позволяет быстро применять типовые шаги вроде заполнения пропусков, кодирования категорий и масштабирования. Это ускоряет сборку базового решения и уменьшает объём ручной работы.","Смысл в том, что автоматическая предобработка признаков в AutoML позволяет быстро применять типовые шаги вроде заполнения пропусков, кодирования категорий и масштабирования; это ускоряет сборку базового решения и снижает объём ручной работы.",5
"Когда разумнее выбрать «контекстные эмбеддинги», а когда «статические эмбеддинги» в представлениях текста?","Контекстные эмбеддинги меняют представление слова в зависимости от окружения, а статические дают слову один и тот же вектор во всех предложениях. Это особенно важно для многозначных слов и сложных контекстов.","По сути, контекстные эмбеддинги меняют представление слова в зависимости от окружения, а статические дают слову один и тот же вектор во всех предложениях; это особенно важно для многозначных слов и сложных контекстов.",5
